Type,RegistrationId,Registration,Account,Key
RetrievableAccount,8,VaultIntegration,svc-rotator@example.com,reg:8|acct:4
RetrievableAccount,8,VaultIntegration,root,reg:8|acct:21
RetrievableAccount,8,VaultIntegration,svc-backup,reg:8|acct:44
RetrievableAccount,8,VaultIntegration,dadams-adm,reg:8|acct:45
RetrievableAccount,8,VaultIntegration,svc-linux,reg:8|acct:46
RetrievableAccount,8,VaultIntegration,svc-app,reg:8|acct:47
RetrievableAccount,8,VaultIntegration,admin,reg:8|acct:48
AccessRequestBroker,8,VaultIntegration,,reg:8|broker
RetrievableAccount,9,AnsibleAutomation,org:example-org-key,reg:9|acct:5
RetrievableAccount,9,AnsibleAutomation,root,reg:9|acct:21
RetrievableAccount,9,AnsibleAutomation,svc-backup,reg:9|acct:44
RetrievableAccount,9,AnsibleAutomation,dadams-adm,reg:9|acct:45
RetrievableAccount,9,AnsibleAutomation,svc-linux,reg:9|acct:46
RetrievableAccount,9,AnsibleAutomation,svc-app,reg:9|acct:47
RetrievableAccount,9,AnsibleAutomation,admin,reg:9|acct:48
RetrievableAccount,10,SecretsSync,svc-rotator@example.com,reg:10|acct:4
RetrievableAccount,10,SecretsSync,app:example-app-key,reg:10|acct:6
RetrievableAccount,10,SecretsSync,svc-backup,reg:10|acct:44
RetrievableAccount,10,SecretsSync,dadams-adm,reg:10|acct:45
RetrievableAccount,10,SecretsSync,svc-linux,reg:10|acct:46
RetrievableAccount,10,SecretsSync,svc-app,reg:10|acct:47
RetrievableAccount,10,SecretsSync,admin,reg:10|acct:48
RetrievableAccount,11,CicdPipeline,org:example-org-key,reg:11|acct:5
RetrievableAccount,11,CicdPipeline,app:example-app-key,reg:11|acct:6
RetrievableAccount,11,CicdPipeline,root,reg:11|acct:21
RetrievableAccount,11,CicdPipeline,svc-backup,reg:11|acct:44
RetrievableAccount,11,CicdPipeline,dadams-adm,reg:11|acct:45
RetrievableAccount,11,CicdPipeline,svc-linux,reg:11|acct:46
RetrievableAccount,11,CicdPipeline,svc-app,reg:11|acct:47
